month,waymo_passenger_miles,taxi_trips,taxi_total_fare,taxi_avg_fare,muni_monthly_boardings,muni_recovery_rate,sfo_ground_trips,post_waymo_public_launch,post_waymo_open_to_all,time_trend,waymo_pct_change,taxi_pct_change,muni_pct_change,log_waymo_passenger_miles,log_taxi_trips,log_muni_monthly_boardings
2023-01,30308.62,212798.0,6636580.34,31.187230801041363,10662000.0,0.629411765,754556.0,0,0,0,,,,10.319220432856795,12.268103337190464,16.18219667015587
2023-02,20492.771,189659.0,5741866.64,30.274685830885957,10645000.0,0.6625,694951.0,0,0,1,-32.38632771798914,-10.873692421921255,-0.15944475708122852,9.927876265295087,12.152988274437718,16.18060095025053
2023-03,22891.252,208091.0,6407863.35,30.79356315265917,11854000.0,0.676136364,864610.0,0,0,2,11.704034559308752,9.718494772196419,11.357444809769834,10.03855379168088,12.24573556858655,16.28817600568963
2023-04,25934.95,218564.0,6557043.88,30.000566790505296,12189000.0,0.681564246,847180.0,0,0,3,13.296336958764865,5.032894262606269,2.826050278387049,10.163385316151267,12.294838732116064,16.316044545679155
2023-05,26214.812,209450.0,6354017.7899996,30.336680783001192,12605000.0,0.692307692,961195.0,0,0,4,1.0790921131523357,-4.16994564521147,3.4129132824678,10.174118019159772,12.252245100772951,16.34960419793775
2023-06,16741.611,209284.0,6323649.41,30.215637172454656,11916000.0,0.695906433,947469.0,0,0,5,-36.13682600508446,-0.07925519216996912,-5.466084886949618,9.725712305596483,12.251452238402884,16.293392676736087
2023-07,13383.561,204971.0,6254359.84,30.513388918432362,12098000.0,0.691428571,910265.0,0,0,6,-20.05810551923588,-2.060835993195853,1.5273581738838526,9.501857157508484,12.230628663426062,16.308550790307283
2023-08,164303.08,221375.0,6625052.77,29.92683351778656,13316000.0,0.751412429,929645.0,1,0,7,1127.6484561918908,8.003083363012319,10.067779798313769,12.009474136340286,12.307617892296841,16.404476952774676
2023-09,317815.97,211829.0,6510443.56,30.73442994113176,13074000.0,0.735955056,975503.0,1,0,8,93.43275244748912,-4.312140033879164,-1.817362571342751,12.669230930022861,12.263539345178502,16.386136159642493
2023-10,402755.4,212373.0,6586342.68,31.01308866946363,13465000.0,0.703125,1010191.0,1,0,9,26.725979188522242,0.2568109182406575,2.9906685023711077,12.906087191664051,12.266104150311,16.415604358494452
2023-11,316579.22,188370.0,5643344.29,29.958827254870734,12002000.0,0.718562874,919524.0,1,0,10,-21.396654147902183,-11.302284188668054,-10.86520608986261,12.66533194816652,12.146168701463134,16.300583943851038
2023-12,423170.03,178855.0,5100774.4,28.519048391154847,11841000.0,0.72392638,854276.0,1,0,11,33.66955354808192,-5.051228964272447,-1.3414430928178622,12.955531702551722,12.094336291790095,16.287078727765415
2024-01,415748.0,219687.0,6317331.07,28.756053248485347,12301000.0,0.723529412,817418.0,1,0,12,-1.7539120149884013,22.829666489614485,3.8848070264335677,12.93783699176064,12.299963636944701,16.325191199145124
2024-02,416408.47,290231.0,7601887.08,26.19254001123243,12294000.0,0.76875,796837.0,1,0,13,0.15886306127750327,32.111139940005565,-0.056905942606289006,12.939424358019577,12.57843588213322,16.32462197778958
2024-03,487548.1,317683.0,8518641.54,26.81491153130636,13444000.0,0.761363636,926210.0,1,0,14,17.084097737012893,9.458672574604376,9.354156499105247,13.097146282297045,12.668812457012693,16.414043542209754
2024-04,532755.9,304343.0,8222902.09,27.018535303916963,13235000.0,0.737430168,919467.0,1,0,15,9.27247998710281,-4.199154503073821,-1.5545968461767368,13.185820501542876,12.625913919582846,16.39837546920057
2024-05,905889.8,338585.0,9310750.69,27.499005242405893,13962000.0,0.769230769,1042569.0,1,0,16,70.03843598916501,11.251121267780096,5.493010955799016,13.716674047959492,12.732533401104577,16.451849983135457
2024-06,1286120.0,,,,12722000.0,0.742690058,987521.0,1,1,17,41.97311858462254,,-8.881249104712797,14.067141269555673,,16.358843414824875
2024-07,1761990.9,,,,13131000.0,0.748571429,939497.0,1,1,18,37.000505396075,,3.2149033170885133,14.381955488418887,,16.390486480996802
2024-08,2249501.2,,,,13866000.0,0.785310734,948980.0,1,1,19,27.668150840052586,,5.597441169750961,14.626219505257996,,16.444950430603424
2024-09,2499442.2,,,,14022000.0,0.786516854,1027393.0,1,1,20,11.11095206350634,,1.1250540891388994,14.731578545032647,,16.45613815406555
2024-10,3128965.0,,,,14854000.0,0.776041667,1079889.0,1,1,21,25.186531618934804,,5.933533019540715,14.95621315650058,,16.51377981453331
2024-11,3486609.8,,,,12639000.0,0.754491018,932551.0,1,1,22,11.430131049724102,,-14.91180826713343,15.064440704860022,,16.352297908749442
2024-12,3801416.0,,,,12587000.0,0.773006135,973303.0,1,1,23,9.029005769444009,,-0.4114249545058901,15.150884449925492,,16.348175172720687
2025-01,3591931.0,,,,13348000.0,0.782352941,895202.0,1,1,24,-5.5107096934405515,,6.045920394057358,15.09420077726735,,16.40687719377099
2025-02,3750371.0,,,,12304000.0,0.76875,847084.0,1,1,25,4.410997872731959,,-7.821396463889718,15.1373655930266,,16.325435052001943
2025-03,5028021.0,,,,13808000.0,0.784090909,1003852.0,1,1,26,34.06729627548848,,12.223667100130031,15.430537224179918,,16.44075876472713
2025-04,5626468.0,,,,14117000.0,0.787709497,988618.0,1,1,27,11.902237480710598,,2.2378331402085783,15.542992627515137,,16.462890373702916
2025-05,6560913.5,,,,14483000.0,0.796703297,1119254.0,1,1,28,16.60803011765106,,2.592618828362969,15.696640556692035,,16.488486174829458
2025-06,4417638.0,,,,13223000.0,0.771929825,1075049.0,1,1,29,-32.667333596152424,,-8.699855002416623,15.30111594844213,,16.39746837116476
2025-07,6027896.0,,,,13742000.0,0.782857143,1018817.0,1,1,30,36.450655304938984,,3.924979202904022,15.61190875165487,,16.435967467342767
2025-08,7005669.5,,,,14473000.0,0.81920904,1007733.0,1,1,31,16.220809051781913,,5.319458594091109,15.762230450517386,,16.487795471713916
2025-09,7652047.0,,,,14695000.0,0.825842697,1079721.0,1,1,32,9.226491486645205,,1.5338906930145724,15.850483882392444,,16.50301792588551
2025-10,9054656.0,,,,15104000.0,0.786458333,1176677.0,1,1,33,18.329853436603294,,2.783259612112965,16.01878976895768,,16.530470233575045
2025-11,9454403.0,,,,12936000.0,0.77245509,1018418.0,1,1,34,4.414822606181845,,-14.353813559322038,16.06199122265689,,16.375524757542724
2025-12,9401292.0,,,,12576000.0,0.773006135,962629.0,1,1,35,-0.5617594257405822,,-2.78293135435993,16.05635779097215,,16.34730087316766
