Measure Names,Month of MONTH,Measure Values
Monthly Recovery,April 2020,0.145251397
Monthly Total Boardings (accessible copy),April 2020,"2,555,000"
Baseline Monthly Total Boardings (accessible copy),April 2020,"17,921,000"
Monthly Recovery,May 2020,0.164835165
Monthly Total Boardings (accessible copy),May 2020,"2,958,000"
Baseline Monthly Total Boardings (accessible copy),May 2020,"18,168,000"
Monthly Recovery,June 2020,0.210526316
Monthly Total Boardings (accessible copy),June 2020,"3,634,000"
Baseline Monthly Total Boardings (accessible copy),June 2020,"17,116,000"
Monthly Recovery,July 2020,0.228571429
Monthly Total Boardings (accessible copy),July 2020,"4,048,000"
Baseline Monthly Total Boardings (accessible copy),July 2020,"17,501,000"
Monthly Recovery,August 2020,0.231638418
Monthly Total Boardings (accessible copy),August 2020,"4,062,000"
Baseline Monthly Total Boardings (accessible copy),August 2020,"17,711,000"
Monthly Recovery,September 2020,0.235955056
Monthly Total Boardings (accessible copy),September 2020,"4,243,000"
Baseline Monthly Total Boardings (accessible copy),September 2020,"17,813,000"
Monthly Recovery,October 2020,0.244791667
Monthly Total Boardings (accessible copy),October 2020,"4,728,000"
Baseline Monthly Total Boardings (accessible copy),October 2020,"19,241,000"
Monthly Recovery,November 2020,0.275449102
Monthly Total Boardings (accessible copy),November 2020,"4,604,000"
Baseline Monthly Total Boardings (accessible copy),November 2020,"16,721,000"
Monthly Recovery,December 2020,0.269938650
Monthly Total Boardings (accessible copy),December 2020,"4,445,000"
Baseline Monthly Total Boardings (accessible copy),December 2020,"16,344,000"
Monthly Recovery,January 2021,0.252941176
Monthly Total Boardings (accessible copy),January 2021,"4,281,000"
Baseline Monthly Total Boardings (accessible copy),January 2021,"17,035,000"
Monthly Recovery,February 2021,0.28125
Monthly Total Boardings (accessible copy),February 2021,"4,522,000"
Baseline Monthly Total Boardings (accessible copy),February 2021,"16,011,000"
Monthly Recovery,March 2021,0.301136364
Monthly Total Boardings (accessible copy),March 2021,"5,348,000"
Baseline Monthly Total Boardings (accessible copy),March 2021,"17,642,000"
Monthly Recovery,April 2021,0.301675978
Monthly Total Boardings (accessible copy),April 2021,"5,429,000"
Baseline Monthly Total Boardings (accessible copy),April 2021,"17,921,000"
Monthly Recovery,May 2021,0.329670330
Monthly Total Boardings (accessible copy),May 2021,"5,977,000"
Baseline Monthly Total Boardings (accessible copy),May 2021,"18,168,000"
Monthly Recovery,June 2021,0.368421053
Monthly Total Boardings (accessible copy),June 2021,"6,337,000"
Baseline Monthly Total Boardings (accessible copy),June 2021,"17,116,000"
Monthly Recovery,July 2021,0.394285714
Monthly Total Boardings (accessible copy),July 2021,"6,908,000"
Baseline Monthly Total Boardings (accessible copy),July 2021,"17,501,000"
Monthly Recovery,August 2021,0.423728814
Monthly Total Boardings (accessible copy),August 2021,"7,543,000"
Baseline Monthly Total Boardings (accessible copy),August 2021,"17,711,000"
Monthly Recovery,September 2021,0.455056180
Monthly Total Boardings (accessible copy),September 2021,"8,128,000"
Baseline Monthly Total Boardings (accessible copy),September 2021,"17,813,000"
Monthly Recovery,October 2021,0.427083333
Monthly Total Boardings (accessible copy),October 2021,"8,244,000"
Baseline Monthly Total Boardings (accessible copy),October 2021,"19,241,000"
Monthly Recovery,November 2021,0.485029940
Monthly Total Boardings (accessible copy),November 2021,"8,094,000"
Baseline Monthly Total Boardings (accessible copy),November 2021,"16,721,000"
Monthly Recovery,December 2021,0.478527607
Monthly Total Boardings (accessible copy),December 2021,"7,815,000"
Baseline Monthly Total Boardings (accessible copy),December 2021,"16,344,000"
Monthly Recovery,January 2022,0.435294118
Monthly Total Boardings (accessible copy),January 2022,"7,407,000"
Baseline Monthly Total Boardings (accessible copy),January 2022,"17,035,000"
Monthly Recovery,February 2022,0.4625
Monthly Total Boardings (accessible copy),February 2022,"7,425,000"
Baseline Monthly Total Boardings (accessible copy),February 2022,"16,011,000"
Monthly Recovery,March 2022,0.517045455
Monthly Total Boardings (accessible copy),March 2022,"9,091,000"
Baseline Monthly Total Boardings (accessible copy),March 2022,"17,642,000"
Monthly Recovery,April 2022,0.513966480
Monthly Total Boardings (accessible copy),April 2022,"9,221,000"
Baseline Monthly Total Boardings (accessible copy),April 2022,"17,921,000"
Monthly Recovery,May 2022,0.532967033
Monthly Total Boardings (accessible copy),May 2022,"9,676,000"
Baseline Monthly Total Boardings (accessible copy),May 2022,"18,168,000"
Monthly Recovery,June 2022,0.555555556
Monthly Total Boardings (accessible copy),June 2022,"9,484,000"
Baseline Monthly Total Boardings (accessible copy),June 2022,"17,116,000"
Monthly Recovery,July 2022,0.548571429
Monthly Total Boardings (accessible copy),July 2022,"9,630,000"
Baseline Monthly Total Boardings (accessible copy),July 2022,"17,501,000"
Monthly Recovery,August 2022,0.615819209
Monthly Total Boardings (accessible copy),August 2022,"10,871,000"
Baseline Monthly Total Boardings (accessible copy),August 2022,"17,711,000"
Monthly Recovery,September 2022,0.629213483
Monthly Total Boardings (accessible copy),September 2022,"11,224,000"
Baseline Monthly Total Boardings (accessible copy),September 2022,"17,813,000"
Monthly Recovery,October 2022,0.604166667
Monthly Total Boardings (accessible copy),October 2022,"11,558,000"
Baseline Monthly Total Boardings (accessible copy),October 2022,"19,241,000"
Monthly Recovery,November 2022,0.640718563
Monthly Total Boardings (accessible copy),November 2022,"10,651,000"
Baseline Monthly Total Boardings (accessible copy),November 2022,"16,721,000"
Monthly Recovery,December 2022,0.619631902
Monthly Total Boardings (accessible copy),December 2022,"10,121,000"
Baseline Monthly Total Boardings (accessible copy),December 2022,"16,344,000"
Monthly Recovery,January 2023,0.629411765
Monthly Total Boardings (accessible copy),January 2023,"10,662,000"
Baseline Monthly Total Boardings (accessible copy),January 2023,"17,035,000"
Monthly Recovery,February 2023,0.6625
Monthly Total Boardings (accessible copy),February 2023,"10,645,000"
Baseline Monthly Total Boardings (accessible copy),February 2023,"16,011,000"
Monthly Recovery,March 2023,0.676136364
Monthly Total Boardings (accessible copy),March 2023,"11,854,000"
Baseline Monthly Total Boardings (accessible copy),March 2023,"17,642,000"
Monthly Recovery,April 2023,0.681564246
Monthly Total Boardings (accessible copy),April 2023,"12,189,000"
Baseline Monthly Total Boardings (accessible copy),April 2023,"17,921,000"
Monthly Recovery,May 2023,0.692307692
Monthly Total Boardings (accessible copy),May 2023,"12,605,000"
Baseline Monthly Total Boardings (accessible copy),May 2023,"18,168,000"
Monthly Recovery,June 2023,0.695906433
Monthly Total Boardings (accessible copy),June 2023,"11,916,000"
Baseline Monthly Total Boardings (accessible copy),June 2023,"17,116,000"
Monthly Recovery,July 2023,0.691428571
Monthly Total Boardings (accessible copy),July 2023,"12,098,000"
Baseline Monthly Total Boardings (accessible copy),July 2023,"17,501,000"
Monthly Recovery,August 2023,0.751412429
Monthly Total Boardings (accessible copy),August 2023,"13,316,000"
Baseline Monthly Total Boardings (accessible copy),August 2023,"17,711,000"
Monthly Recovery,September 2023,0.735955056
Monthly Total Boardings (accessible copy),September 2023,"13,074,000"
Baseline Monthly Total Boardings (accessible copy),September 2023,"17,813,000"
Monthly Recovery,October 2023,0.703125
Monthly Total Boardings (accessible copy),October 2023,"13,465,000"
Baseline Monthly Total Boardings (accessible copy),October 2023,"19,241,000"
Monthly Recovery,November 2023,0.718562874
Monthly Total Boardings (accessible copy),November 2023,"12,002,000"
Baseline Monthly Total Boardings (accessible copy),November 2023,"16,721,000"
Monthly Recovery,December 2023,0.723926380
Monthly Total Boardings (accessible copy),December 2023,"11,841,000"
Baseline Monthly Total Boardings (accessible copy),December 2023,"16,344,000"
Monthly Recovery,January 2024,0.723529412
Monthly Total Boardings (accessible copy),January 2024,"12,301,000"
Baseline Monthly Total Boardings (accessible copy),January 2024,"17,035,000"
Monthly Recovery,February 2024,0.76875
Monthly Total Boardings (accessible copy),February 2024,"12,294,000"
Baseline Monthly Total Boardings (accessible copy),February 2024,"16,011,000"
Monthly Recovery,March 2024,0.761363636
Monthly Total Boardings (accessible copy),March 2024,"13,444,000"
Baseline Monthly Total Boardings (accessible copy),March 2024,"17,642,000"
Monthly Recovery,April 2024,0.737430168
Monthly Total Boardings (accessible copy),April 2024,"13,235,000"
Baseline Monthly Total Boardings (accessible copy),April 2024,"17,921,000"
Monthly Recovery,May 2024,0.769230769
Monthly Total Boardings (accessible copy),May 2024,"13,962,000"
Baseline Monthly Total Boardings (accessible copy),May 2024,"18,168,000"
Monthly Recovery,June 2024,0.742690058
Monthly Total Boardings (accessible copy),June 2024,"12,722,000"
Baseline Monthly Total Boardings (accessible copy),June 2024,"17,116,000"
Monthly Recovery,July 2024,0.748571429
Monthly Total Boardings (accessible copy),July 2024,"13,131,000"
Baseline Monthly Total Boardings (accessible copy),July 2024,"17,501,000"
Monthly Recovery,August 2024,0.785310734
Monthly Total Boardings (accessible copy),August 2024,"13,866,000"
Baseline Monthly Total Boardings (accessible copy),August 2024,"17,711,000"
Monthly Recovery,September 2024,0.786516854
Monthly Total Boardings (accessible copy),September 2024,"14,022,000"
Baseline Monthly Total Boardings (accessible copy),September 2024,"17,813,000"
Monthly Recovery,October 2024,0.776041667
Monthly Total Boardings (accessible copy),October 2024,"14,854,000"
Baseline Monthly Total Boardings (accessible copy),October 2024,"19,241,000"
Monthly Recovery,November 2024,0.754491018
Monthly Total Boardings (accessible copy),November 2024,"12,639,000"
Baseline Monthly Total Boardings (accessible copy),November 2024,"16,721,000"
Monthly Recovery,December 2024,0.773006135
Monthly Total Boardings (accessible copy),December 2024,"12,587,000"
Baseline Monthly Total Boardings (accessible copy),December 2024,"16,344,000"
Monthly Recovery,January 2025,0.782352941
Monthly Total Boardings (accessible copy),January 2025,"13,348,000"
Baseline Monthly Total Boardings (accessible copy),January 2025,"17,035,000"
Monthly Recovery,February 2025,0.76875
Monthly Total Boardings (accessible copy),February 2025,"12,304,000"
Baseline Monthly Total Boardings (accessible copy),February 2025,"16,011,000"
Monthly Recovery,March 2025,0.784090909
Monthly Total Boardings (accessible copy),March 2025,"13,808,000"
Baseline Monthly Total Boardings (accessible copy),March 2025,"17,642,000"
Monthly Recovery,April 2025,0.787709497
Monthly Total Boardings (accessible copy),April 2025,"14,117,000"
Baseline Monthly Total Boardings (accessible copy),April 2025,"17,921,000"
Monthly Recovery,May 2025,0.796703297
Monthly Total Boardings (accessible copy),May 2025,"14,483,000"
Baseline Monthly Total Boardings (accessible copy),May 2025,"18,168,000"
Monthly Recovery,June 2025,0.771929825
Monthly Total Boardings (accessible copy),June 2025,"13,223,000"
Baseline Monthly Total Boardings (accessible copy),June 2025,"17,116,000"
Monthly Recovery,July 2025,0.782857143
Monthly Total Boardings (accessible copy),July 2025,"13,742,000"
Baseline Monthly Total Boardings (accessible copy),July 2025,"17,501,000"
Monthly Recovery,August 2025,0.819209040
Monthly Total Boardings (accessible copy),August 2025,"14,473,000"
Baseline Monthly Total Boardings (accessible copy),August 2025,"17,711,000"
Monthly Recovery,September 2025,0.825842697
Monthly Total Boardings (accessible copy),September 2025,"14,695,000"
Baseline Monthly Total Boardings (accessible copy),September 2025,"17,813,000"
Monthly Recovery,October 2025,0.786458333
Monthly Total Boardings (accessible copy),October 2025,"15,104,000"
Baseline Monthly Total Boardings (accessible copy),October 2025,"19,241,000"
Monthly Recovery,November 2025,0.772455090
Monthly Total Boardings (accessible copy),November 2025,"12,936,000"
Baseline Monthly Total Boardings (accessible copy),November 2025,"16,721,000"
Monthly Recovery,December 2025,0.773006135
Monthly Total Boardings (accessible copy),December 2025,"12,576,000"
Baseline Monthly Total Boardings (accessible copy),December 2025,"16,344,000"
Monthly Recovery,January 2026,0.8
Monthly Total Boardings (accessible copy),January 2026,"13,631,000"
Baseline Monthly Total Boardings (accessible copy),January 2026,"17,035,000"
Monthly Recovery,February 2026,0.8
Monthly Total Boardings (accessible copy),February 2026,"12,824,000"
Baseline Monthly Total Boardings (accessible copy),February 2026,"16,011,000"
Monthly Recovery,March 2026,0.846590909
Monthly Total Boardings (accessible copy),March 2026,"14,937,000"
Baseline Monthly Total Boardings (accessible copy),March 2026,"17,642,000"
