Entity,Day,Monthly distance traveled by robotaxi passengers
California,2022-03-31,20582.791
California,2022-04-30,20969.764
California,2022-05-31,23900.633
California,2022-06-30,18020.906
California,2022-07-31,19213.234
California,2022-08-31,17840.746
California,2022-09-30,17576.172
California,2022-10-31,20829.865
California,2022-11-30,20903.586
California,2022-12-31,24460.535
California,2023-01-31,30308.62
California,2023-02-28,20492.771
California,2023-03-31,22891.252
California,2023-04-30,25934.95
California,2023-05-31,26214.812
California,2023-06-30,16741.611
California,2023-07-31,13383.561
California,2023-08-31,164303.08
California,2023-09-30,317815.97
California,2023-10-31,402755.4
California,2023-11-30,316579.22
California,2023-12-31,423170.03
California,2024-01-31,415748
California,2024-02-29,416408.47
California,2024-03-31,487548.1
California,2024-04-30,532755.9
California,2024-05-31,905889.8
California,2024-06-30,1286120
California,2024-07-31,1761990.9
California,2024-08-31,2249501.2
California,2024-09-30,2499442.2
California,2024-10-31,3128965
California,2024-11-30,3486609.8
California,2024-12-31,3801416
California,2025-01-31,3591931
California,2025-02-28,3750371
California,2025-03-31,5028021
California,2025-04-30,5626468
California,2025-05-31,6560913.5
California,2025-06-30,4417638
California,2025-07-31,6027896
California,2025-08-31,7005669.5
California,2025-09-30,7652047
California,2025-10-31,9054656
California,2025-11-30,9454403
California,2025-12-31,9401292